OPTICAS,Dirección,Telefono,Horario,compartir,Sitio Web,Ruta,__source_file
ZEISS VISION CENTER - by Tutto Vision,"Av. Insurgentes Sur 1271-Planta Baja, Local 6, Extremadura Insurgentes, Benito Juárez, 03740 Ciudad de México, CDMX",55 9793 1979,Lunes a viernes 10 a 8pm     Sábado  10 a 5 pm Domingo Cerrado,https://share.google/5nRNTKjYO2JYzRmsF,https://www.tuttovision.com/,"https://www.google.com/maps/dir//ZEISS+VISION+CENTER+-+by+Tutto+Vision,+Av.+Insurgentes+Sur+1271-Planta+Baja,+Local+6,+Extremadura+Insurgentes,+Benito+Ju%C3%A1rez,+03740+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d1ff5a93618445:0x875d4587dc41d659?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - ZEISS VISION CENTER - by Tutto .csv
Costco Wholesale Mixcoac,"Ubicado en: Plaza Eureka Power Center   Blvd. Adolfo López Mateos 1181, San Pedro de los Pinos, Álvaro Obregón, 01180 Ciudad de México, CDMX",55 5276 8160,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/NmWsMSBfPawzCxfSV,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Mixcoac,+Blvd.+Adolfo+L%C3%B3pez+Mateos+1181,+San+Pedro+de+los+Pinos,+%C3%81lvaro+Obreg%C3%B3n,+01180+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d201d591007645:0x5ede5a6113559c76?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Polanco,"Ubicado en: Selecto Chedraui Polanco           Blvd. Miguel de Cervantes Saavedra 397, Col. Irrigación, Miguel Hidalgo, 11500 Ciudad de México, CDMX",55 8647 9900,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/ow5U5AKOZGV4zi0vp,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Polanco,+Blvd.+Miguel+de+Cervantes+Saavedra+397,+Col.+Irrigaci%C3%B3n,+Miguel+Hidalgo,+11500+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d20210a63c7195:0x4a63fd3379c7e027?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Villa Coapa,"C. Puente 186, Coapa, Amsa, Tlalpan, 14380 Ciudad de México, CDMX",55 5483 9080,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/W3yRoV32t7LLkMmw2,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Villa+Coapa,+C.+Puente+186,+Amsa,+Tlalpan,+14380+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85ce010440a886a9:0x682044076c95fe0d?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Lindavista,"Av. Insurgentes Nte. 1320, Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX",55 5747 5680,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/uOmaNXqhD9ca2HWqN,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Lindavista,+Av.+Insurgentes+Nte.+1320,+Magdalena+de+las+Salinas,+Gustavo+A.+Madero,+07760+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d1f9a74972c0bb:0x432e2864684ed938?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Satélite,"Perif. Blvd. Manuel Ávila Camacho 2001, Cd. Satélite, 53100 Naucalpan de Juárez, Méx.",55 5374 9940,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/xdoyYiLT7wYwf7SW5,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Sat%C3%A9lite,+Perif.+Blvd.+Manuel+%C3%81vila+Camacho+2001,+Cd.+Sat%C3%A9lite,+53100+Naucalpan+de+Ju%C3%A1rez,+M%C3%A9x./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d2032775065b2d:0xedc3b9e9868329df?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Santa Fe,"Av. Tamaulipas 1300, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05348 Ciudad de México, CDMX",55 9177 4220,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/INvbweXCT51Ps3j2P,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Mixcoac,+Blvd.+Adolfo+L%C3%B3pez+Mateos+1181,+San+Pedro+de+los+Pinos,+%C3%81lvaro+Obreg%C3%B3n,+01180+Ciudad+de+M%C3%A9xico,+CDMX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d201d591007645:0x5ede5a6113559c76?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Arboledas,"C. San Nicolás 10, Industrial San Nicolas, 54030 Tlalnepantla, Méx.",55 5321 3285,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/b6OjDJ8nMEtr4CJno,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Arboledas,+C.+San+Nicol%C3%A1s+10,+Industrial+San+Nicolas,+54030+Tlalnepantla,+M%C3%A9x./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d21d7f6083264b:0x44d1716a230a30c6?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale  Interlomas,"Blvd. Magnocentro 4, Bosque de las Palmas, 52787 Naucalpan de Juárez, Méx.",55 5950 0400,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/n4HPPQl3X4tawJzvp,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Interlomas,+Blvd.+Magnocentro+4,+Bosque+de+las+Palmas,+52787+Naucalpan+de+Ju%C3%A1rez,+M%C3%A9x./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d2014a1c53c4bb:0x4be13e76e97b88dd?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Atizapán,": 3, Av. Adolfo Ruiz Cortines 1, Lomas de Atizapan, 52966 Cdad. López Mateos, Méx.",55 2345 0140,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/LCPin9mjwtPKhD6rQ,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Atizap%C3%A1n,+3,+Av.+Adolfo+Ruiz+Cortines+1,+Lomas+de+Atizapan,+52966+Cdad.+L%C3%B3pez+Mateos,+M%C3%A9x./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d21c9bdc48a163:0x9bef69dee96ac0af?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale  Aguascalientes,"Av. Aguascalientes Nte 802, Desarrollo Especial Bulevar a Zacatecas, 20864 Aguascalientes, Ags.",(449) 910 9760,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/ODXuZLxBtyecKWGLd,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Av.+Aguascalientes+Nte+802,+Desarrollo+Especial+Bulevar+a+Zacatecas,+20864+Aguascalientes,+Ags./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8429ee4d69fd4567:0xd1724455b1f36134?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale  Guadalajara San Isidro,"Periférico Poniente Manuel Gómez Morín 1234, Zapopan, frente a Plaza San Isidro.",33 3767 9530,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,,http://www.costco.com.mx/,,Directorio de opticas - Costco.csv
Costco Wholesale Guadalajara López Mateos,"Blvd. Adolfo López Mateos 3100,  Tlajomulco de Zúñiga ,Jalisco ,45645",(33) 3283 3330,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/jYgpJTBatRwSnnTLW,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+L%C3%B3pez+Mateos,+Av.+Adolfo+L%C3%B3pez+Mateos+Sur+3100,+45640+Tlajomulco+de+Zu%C3%B1iga,+Jal./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8428aca7a3895bf5:0x43ef7042ebdb028c?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Guadalajara Vallarta,"Av. Vallarta esq, Av Rafael Sanzio 4775, Camichines Vallarta, 45020 Zapopan, Jal.",(33) 3777 4040,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/A9LqbFnbirORfexDd,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Av.+Vallarta+esq,+Av+Rafael+Sanzio+4775,+Camichines+Vallarta,+45020+Zapopan,+Jal./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8428aebe2a474f2f:0xf9dab594264a2840?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale  San Luis Potosí,"Av. Parque Chapultepec 200, Colinas del Parque, 78294 San Luis Potosí, S.L.P.",444 834 1600,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/22sd8KmNldyKHz6nU,http://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+San+Luis+Potos%C3%AD,+Av.+Parque+Chapultepec+200,+Colinas+del+Parque,+78294+San+Luis+Potos%C3%AD,+S.L.P./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x842a98c7d16c51f5:0x57e9bc9ef36ec84?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Torreón,"JJ63+WG, 27018 Torreón, Coah.",871 253 0550,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/44maf9uhcR0wJWy1b,https://www.costco.com.mx/,"https://www.google.com/maps/dir//JJ63%2BWG+Costco+Wholesale+Torre%C3%B3n,+Torre%C3%B3n,+Coah./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x868fd10024bb222d:0xe502daf1d7f27ae?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Saltillo,"Blvd. Venustiano Carranza 6125, Rancho de Peña, 25210 Saltillo, Coah.",844 242 0300,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/yhfNQWg67a4aFFCCE,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Saltillo,+Blvd.+Venustiano+Carranza+6125,+Rancho+de+Pe%C3%B1a,+25210+Saltillo,+Coah./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x868812d3cf40d03f:0x873e4b1ae63ce6dd?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale León Campestre,"Blvd. Eugenio Garza Sada 102, Lomas del Campestre, 37150 León de los Aldama, Gto.",477 102 1900,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/ya43J4UMTtv2FX5fW,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Le%C3%B3n+Norte,+Blvd.+Eugenio+Garza+Sada+102,+Lomas+del+Campestre,+37150+Le%C3%B3n+de+los+Aldama,+Gto./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x842bbf55c20ad6a7:0x1d153f78a8831473?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale León,"Blvd. J. J. Torres Landa Ote. 4137, Jardines de Jerez, 37229 León de los Aldama, Gto.",477 788 1300,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/tS9UpxiJU0AA8JFtv,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Le%C3%B3n,+Blvd.+J.+J.+Torres+Landa+Ote.+4137,+Jardines+de+Jerez,+37229+Le%C3%B3n+de+los+Aldama,+Gto./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x842bbe6b6a85c2ab:0xd79c4e20d68c075c?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Monterrey,"Av Lázaro Cárdenas 800, Zona Valle Oriente, 66269 San Pedro Garza García, N.L",81 8133 9800,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/CrZGu751rpU6HmZN0,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Monterrey,+Av+L%C3%A1zaro+C%C3%A1rdenas+800,+Zona+Valle+Oriente,+66269+San+Pedro+Garza+Garc%C3%ADa,+N.L./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8662be4534def2df:0xc037fc3a7677baed?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Carretera Nacional,"Km 268 + 500, Carr Nacional 501, Bosques de Valle Alto, 64989 Monterrey, N.L.",81 1224 0050,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/SxnIO3MO06M4mgyYs,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Carretera+Nacional,+Km+268+%2B+500,+Carr+Nacional+501,+Bosques+de+Valle+Alto,+64989+Monterrey,+N.L./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8662c751979ccd4b:0x6ea0c87c467cb891?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Monterrey Cumbres,"Calle Alejandro de Rodas 6767, Pedregal Cumbres, 64340 Monterrey, N.L",81 8121 0070,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/0Jw2QVNSCCzoKwlkg,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Calle+Alejandro+de+Rodas+6767,+Pedregal+Cumbres,+64340+Monterrey,+N.L./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x866296e2e99be8fd:0xea923d1b03f41753?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Celaya,"Av Tecnológico 651, Cd Industrial de Celaya, 38010 Celaya, Gto.",461 192 1300,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/a0So4pgVxnP3RdCf1,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale+Celaya,+Av+Tecnol%C3%B3gico+651,+Cd+Industrial+de+Celaya,+38010+Celaya,+Gto./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x842cbab8d22e38cf:0x84984b561859bd51?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Querétaro,"Boulevard Bernardo Quintana A.4107, Plaza del Parque, 76169 Santiago de Querétaro, Qro.",442 211 6700,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/yKSrjSuw5schPNIsb,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Quer%C3%A9taro,+Boulevard+Bernardo+Quintana+A.4107,+Plaza+del+Parque,+76169+Santiago+de+Quer%C3%A9taro,+Qro./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85d35b1fea06b60f:0x7d3597c72fd10f9d?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Puerto Vallarta,"Av Fluvial Vallarta 134, Fluvial Vallarta, 48312 Puerto Vallarta, Jal.",322 226 2580,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/x3vAAAzNkTEKVrCes,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Puerto+Vallarta,+Av+Fluvial+Vallarta+134,+Fluvial+Vallarta,+48312+Puerto+Vallarta,+Jal./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x8421457bd4556415:0x61b883bc9689c72d?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Morelia,"Cto. Perif. Independencia 1000, 58089 Morelia, Mich.",443 322 3000,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/uZ6zS6redtxpaUfhv,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Cto.+Perif.+Independencia+1000,+58089+Morelia,+Mich./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x842d0c35b75c7d31:0x8461c4af39502c1a?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco WholesaleCuliacán,"Blvd. Pedro Infante 2152, Congreso del Estado, 80020 Culiacán Rosales, Sin.",667 758 5556,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/Wii2PN8hKlIufT3uL,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Blvd.+Pedro+Infante+2152,+Congreso+del+Estado,+80020+Culiac%C3%A1n+Rosales,+Sin./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x86bcd08f3d9f42e5:0xe709178f79cf3f6b?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
Costco Wholesale Toluca,"Avenida S.S Juan Pablo Segundo 501, San Mateo, 52169 Metepec, Méx.",722 275 7020,L a V 10a 8:30 pm Sábado 9:30 a 9 pm Domingos 10 a 8 pm,https://share.google/pWJ7UcuWlxOjzsqxW,https://www.costco.com.mx/,"https://www.google.com/maps/dir//Costco+Wholesale,+Avenida+S.S+Juan+Pablo+Segundo+501,+San+Mateo,+52169+Metepec,+M%C3%A9x./data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x85cd8bc8cf8c32ab:0xca6dd6f7a2c4b020?sa=X&ved=1t:57443&ictx=111",Directorio de opticas - Costco.csv
